epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,3271.44,0.74594,1.3725,1.14839,0.73567,0.74628,0.80048,0.6921,0.54758,0.85175,1.0631,0.006964,0.006964,0.006964
94,3306.28,0.74457,1.37937,1.15267,0.74287,0.74021,0.80125,0.69283,0.54726,0.8488,1.0631,0.006931,0.006931,0.006931
95,3340.34,0.74763,1.39758,1.1526,0.75413,0.73066,0.80215,0.69501,0.54717,0.84674,1.06296,0.006898,0.006898,0.006898
96,3374.79,0.748,1.37904,1.1542,0.75287,0.73511,0.80405,0.69615,0.54568,0.84331,1.062,0.006865,0.006865,0.006865
97,3408.91,0.74234,1.35925,1.1506,0.75533,0.73797,0.80477,0.69708,0.54499,0.84142,1.06106,0.006832,0.006832,0.006832
98,3443.3,0.74103,1.36069,1.14796,0.74325,0.74957,0.80427,0.69699,0.54387,0.83934,1.06016,0.006799,0.006799,0.006799
99,3477.36,0.7439,1.36323,1.15327,0.74425,0.74946,0.8052,0.69782,0.54383,0.83853,1.06026,0.006766,0.006766,0.006766
100,3511.37,0.73451,1.32118,1.14356,0.74422,0.75165,0.80549,0.69775,0.54334,0.83698,1.05989,0.006733,0.006733,0.006733
101,3545.47,0.73372,1.3197,1.14089,0.74809,0.74696,0.80758,0.69969,0.54316,0.83411,1.05986,0.0067,0.0067,0.0067
102,3579.56,0.73856,1.32321,1.14674,0.75438,0.73952,0.80709,0.69938,0.54285,0.83372,1.05968,0.006667,0.006667,0.006667
103,3625.88,0.73546,1.31586,1.14339,0.76105,0.73876,0.80793,0.70036,0.54197,0.83088,1.05877,0.006634,0.006634,0.006634
104,3672.81,0.73806,1.32566,1.14395,0.7588,0.74007,0.80797,0.70081,0.54119,0.82826,1.05783,0.006601,0.006601,0.006601
105,3707.81,0.73482,1.3093,1.14436,0.76042,0.74015,0.80885,0.70201,0.54031,0.82684,1.05698,0.006568,0.006568,0.006568
106,3742.36,0.7292,1.30305,1.14238,0.76226,0.7384,0.80971,0.70285,0.53941,0.82529,1.0561,0.006535,0.006535,0.006535
107,3777.19,0.7307,1.3079,1.14045,0.76576,0.73632,0.8097,0.70383,0.53929,0.82365,1.05568,0.006502,0.006502,0.006502
108,3811.49,0.73214,1.29209,1.14127,0.77019,0.73815,0.81055,0.70502,0.53858,0.82191,1.05488,0.006469,0.006469,0.006469
109,3845.95,0.73162,1.28107,1.13886,0.77354,0.73613,0.81142,0.70471,0.53797,0.82029,1.05427,0.006436,0.006436,0.006436
110,3879.73,0.72258,1.27086,1.13291,0.76853,0.739,0.81165,0.70549,0.53748,0.81808,1.05419,0.006403,0.006403,0.006403
111,3914.2,0.73403,1.27571,1.14263,0.75927,0.74828,0.81217,0.70581,0.53752,0.81669,1.05428,0.00637,0.00637,0.00637
112,3948.6,0.72108,1.26571,1.13679,0.76028,0.74687,0.81156,0.70619,0.53724,0.8151,1.05422,0.006337,0.006337,0.006337
113,3982.72,0.72962,1.27029,1.13882,0.76286,0.74437,0.81259,0.70779,0.53713,0.8131,1.0544,0.006304,0.006304,0.006304
114,4017.2,0.71584,1.24583,1.1325,0.77205,0.74257,0.814,0.70877,0.53677,0.81186,1.05429,0.006271,0.006271,0.006271
115,4051.47,0.71971,1.2399,1.12941,0.78002,0.73728,0.81481,0.70952,0.53687,0.8098,1.05459,0.006238,0.006238,0.006238
116,4086.06,0.71454,1.2273,1.12943,0.77849,0.7377,0.81562,0.71014,0.53695,0.80896,1.05486,0.006205,0.006205,0.006205
117,4120.29,0.72262,1.23861,1.13381,0.78136,0.74013,0.81684,0.71152,0.53708,0.8076,1.05506,0.006172,0.006172,0.006172
